scenario,variant,n,penalty,weight,strategy,ndcg
running,delay,5,9,var0,HybridWithUncertainty,0.964756
running,delay,5,9,var0,HybridWithUncertaintyPropagation,0.964756
running,delay,5,9,var0,HybridWithUncertaintyAndPenalty,0.950455
running,delay,5,9,var0,HybridWithUncertaintyPropagationAndPenalty,0.950455
running,delay,5,7,var3,Subtree,0.925519
running,delay,5,7,var3,SubtreeWithUncertainty,0.923196
running,delay,5,7,var3,SubtreeWithUncertaintyPropagation,0.923196
running,delay,5,7,var3,SubtreeWithPenalty,0.925519
running,delay,5,7,var3,SubtreeWithUncertaintyPropagationAndPenalty,0.929511
running,delay,5,7,var3,ResponseTimeAnalysis,0.870533
running,delay,5,7,var3,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,7,var3,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.932833
running,delay,5,7,var3,HybridWithUncertainty,0.964756
running,delay,5,7,var3,HybridWithUncertaintyPropagation,0.964756
running,delay,5,7,var3,HybridWithUncertaintyAndPenalty,0.950455
running,delay,5,7,var3,HybridWithUncertaintyPropagationAndPenalty,0.964756
running,delay,5,7,var2,Subtree,0.925519
running,delay,5,7,var2,SubtreeWithUncertainty,0.925519
running,delay,5,7,var2,SubtreeWithUncertaintyPropagation,0.925519
running,delay,5,7,var2,SubtreeWithPenalty,0.925519
running,delay,5,7,var2,SubtreeWithUncertaintyPropagationAndPenalty,0.925519
running,delay,5,7,var2,ResponseTimeAnalysis,0.870533
running,delay,5,7,var2,ResponseTimeAnalysisWithPenalty,0.870533
running,delay,5,7,var2,ResponseTimeAnalysisWithUncertaintyAndPenalty,0.900304
running,delay,5,7,var2,HybridWithUncertainty,0.925519
running,delay,5,7,var2,HybridWithUncertaintyPropagation,0.925519
running,delay,5,7,var2,HybridWithUncertaintyAndPenalty,0.947297
running,delay,5,7,var2,HybridWithUncertaintyPropagationAndPenalty,0.947297
running,delay,5,5,var3,Subtree,0.925519
running,delay,5,5,var3,SubtreeWithUncertainty,0.923196
running,delay,5,5,var3,SubtreeWithUncertaintyPropagation,0.923196
